"original use","normalized use","remarks"
"GND CTL","GND","CTL"
"GND CTL INBOUND/P","GND","CTL INBOUND"
"GND CTL OUTBOUND/P","GND","CTL OUTBOUND"
"GND CTL/P","GND","PRIMARY CTL"
"GND CTL/S","GND","SECONDARY CTL"
"GND METER EAST","GND","METER EAST"
"GND METER WEST","GND","METER WEST"
"GND METERING","GND","METERING"
"GND WHEN ATCT CLOSED","GND","WHEN ATCT CLOSED"
"GND(P)","GND",
"GND/ALTERNATE","GND","ALTERNATE"
"GND/P","GND",
"GND/P  CD/P","CLDC","ALSO GND"
"GND/P (NORTH)","GND","(NORTH)"
"GND/P (SOUTH)","GND","(SOUTH)"
"GND/P - CD","CLDC","ALSO GND"
"GND/P CD/P","CLDC","ALSO GND"
"GND/P CD/P IC","CLDC","ALSO GND"
"GND/P CD/P PRE TAXI CLNC","CLDC","ALSO GND, PRE TAXI"
"GND/P IC","GND",
"GND/P OPNS","GND","ALSO OPS"
"GND/P, CD/P","CLDC","ALSO GND"
"GND/S","GND","S"
"GNP/P CD/P","CLDC","ALSO GND"
"GROUND CONTROL","GND","CTL"
"GROUND METERING","GND","METERING"
"GROUND TEST","GND","TEST"
"HEL OPNS","HEL OPS",
"HELI CTL","TWR","HELI CTL"
"HICKAM ADVSY RAMP","HICKAM","RAMP ADVISORY"
"HONOLULU RAMP ADVISORY","HONOLULU","RAMP ADVISORY"
"IC","IC",
"ILS PRM MONITOR/P","ILS","PRM MONITOR"
"ILS PRM RY 28L IC","ILS","PRM RY 28L IC"
"ILS PRM TWR/P","TWR","ALSO ILS PRM"
"LC/P","TWR",
"LC/S","TWR","SECONDARY"
"LCL","TWR",
"LDA PRM RY 06L/24R","LDA","PRM RY 06L/24R"
"LDA PRM RY 06R/24L","LDA","PRM RY 06R/24L"
"LDA PRM RY 28R IC","LDA","PRM RY 28R IC"
"LOCAL CONTROL","LCL CTL",
"MARNE RDO/FLT FLW","FLT FLWG","MARNE RDO"
"MCB RANGE CON","MCB RANGE CON",
"MIDFLD RAMP CTL","MIDFLD RAMP CTL",
"MOA ADVSY","MOA ADVISORY",
"MONITOR ILS PRM RY 28L","ILS","PRM MONITOR RY 28L"
"MONITOR LDA PRM RY 28R","LDA","PRM MONITOR RY 28R"
"NASA","NASA",
"NASA OPS","NASA OPS",
"NAVY JAX OPS","NAVY JAX OPS","NAVY JAX OPS"
"NAVYNORFOLK HELI TWR","TWR","NAVYNORFOLK HELI"
"NG OPNS","NG OPS",
"NG OPS","NG OPS",
"NG OPS (STEAMBOAT)","NG OPS","STEAMBOAT"
"NG-OPNS","NG OPS",
"NORTH RAMP/CARGO","NORTH RAMP","CARGO"
"O'HARE TWR CENTER TWR/P","TWR","O'HARE TOWER CENTER"
"O'HARE TWR NORTH GC/P","TWR","O'HARE TOWER NORTH"
"O'HARE TWR NORTH TWR/P","TWR","O'HARE TOWER NORTH"
"OPNS","OPS",
"OPS","OPS",
"PALMETTO OPS","PALMETTO OPS",
"PAR","PAR",
"PAR/P","PAR","PRIMARY"
"PAR/S","PAR","SECONDARY"
"PLEAD CON","PLEAD CON",
"PMSV","PMSV",
"PMSV METRO","PMSV METRO",
"PRE TAXI CLNC","CLDC","PRE-TAXI"
"PRE-TAXI CLNC CD/P","CLDC","PRE-TAXI"
"PRM RY 3R/21L","PRM","RY 3R/21L"
"PRM RY 4L/22R","PRM","RY 4L/22R"
"PRM RY 4R/22L","PRM","RY 4R/22L"
"PTD","PTD",
"PTD/BASE OPS","PTD/BASE OPS",
"PTD/S","PTD","SECONDARY"
"RADAR","RADAR",
"RAMP CON","RAMP CTL",
"RAMP CONTROL","RAMP CTL",
"RAMP CTL","RAMP CTL",
"RANGE CON","RANGE CTL",
"RANGE CON OPS","RANGE CTL OPS",
"RANGE CTL","RANGE CTL",
"RANGE CTL (CHEROKEE)","RANGE CTL","(CHEROKEE)"
"RANGE CTL(CHEROKEE)","RANGE CTL","(CHEROKEE)"
"RDR","RADAR",
"RDR SFA","RADAR","SFA"
"RDR TWR/S","RADAR","ALSO SECONDARY TWR"
"RDR/P","RADAR",
"RESERVED","RESERVED","RESERVED"
"RNG","RANGE",
"RNG CTL","RANGE CTL",
"RTIS(120-300 WITHIN 25 NM)","RTIS","(120-300 WITHIN 25 NM)"
"RY 12 APCH/P","APP/DEP","RY 12"
"SATELLITE","SATELLITE",
"SEASONAL USE ONLY.","SEASONAL USE ONLY",
"SFA","SFA",
"SFA PTD","SFA PTD",
"SHAKA OPS","SHAKA OPS",
"SHERMAN CLNC DEL","CLDC","SHERMAN"
"SOUTH RAMP","RAMP","SOUTH"
"SPECIAL FLIGHT RULE AREA","SPECIAL FLT RULE AREA",
"STAGE III","STAGE III",
"SUAIS RADIO","SUAIS RADIO",
"TFC ADZ SVC","ADVISORY",
"TINKER ATOC","TINKER ATOC",
"TRNG","TRNG",
"TWR","TWR",
"TWR/P","TWR",
"TWR/P & RANGE","TWR","RANGE"
"TWR/P (ARR/DEP RY 14/32)","TWR","(ARR/DEP RY 14/32)"
"TWR/P (ARR/DEP RYS 04R/22L 09/27)","TWR","(ARR/DEP RYS 04R/22L 09/27)"
"TWR/P (ARR/DEP RYS 4L/22R 15R/33L 15L/33R)","TWR","(ARR/DEP RYS 4L/22R 15R/33L 15L/33R)"
"TWR/P (RY 18C-36C)","TWR","(RY 18C-36C)"
"TWR/P (RYS 17L/35R & 17R/35L)","TWR","(RYS 17L/35R & 17R/35L)"
"TWR/P (RYS 18L/36R & 05/23)","TWR","(RYS 18L/36R & 05/23)"
"TWR/P (RYS 18L/36R & 18R/36L)","TWR","(RYS 18L/36R & 18R/36L)"
"TWR/P CD/S","TWR","ALSO SECONDARY CLDC"
"TWR/P GND/P","TWR","ALSO GND"
"TWR/P IC","TWR",
"TWR/P RDR","TWR","ALSO RADAR"
"TWR/P VFR ADV","TWR",
"TWR/P VFR-ADV","TWR",
"TWR/P(ACFT ARR E OF CNTRLN OR DEP RY 16L/34R)","TWR","(ACFT ARR E OF CNTRLN OR DEP RY 16L/34R)"
"TWR/P(ACFT ARR W OF CNTRLN OR DEP RY 16R/34L)","TWR","(ACFT ARR W OF CNTRLN OR DEP RY 16R/34L)"
"TWR/P, CTAF","TWR",
"TWR/S","TWR","SECONDARY"
"TWR/S (ARR/DEP RYS 04R/22L, 09/27)","TWR","SECONDARY (ARR/DEP RYS 04R/22L, 09/27)"
"UNICOM","UNICOM",
"UTILITY","UTILITY",
"VFR","ADVISORY","VFR"
"VFR ADV","ADVISORY","VFR"
"VFR ADVSY SVC","ADVISORY","VFR"
"VFR FINAL APCH","ADVISORY","VFR FINAL APCH"
"VFR SEQUENCING SVC 25 NM OUT","VFR SEQUENCING","25 NM OUT"
"VFR-ADV","ADVISORY","VFR"
